Producto,precio,PrincipioActivo,farmacia
Multi 3 Max Solución Hidrazym Multiproposito – Frasco 60 ML,18.0,No encontrado,Hogar y Salud
Multi-bioticos Pastilla dura con sabores variados Naranja/Menta,2.7,,Hogar y Salud
Multiflora Plus Cápsula,135.0,"Probióticos 1 x108 UFC (L. casei 4,00 x 107, L. rhamnosus 3,50 x 107, S. thermophilus 1,00 x 107 , B. breve 5,00 x 106, L. acidophilus 5,00 x 106, B. longum 4,00 x 106, L. bulgaricus 1,00 x 106)|vitamina C 40mg |Vitamina E 6mg |Vitamina A 400ug",Hogar y Salud
Multiflora Polvo para Suspensión,73.0,"Probióticos 1 x109 UFC (L. casei 4,00 x108, L. rhamnosus 3,50 x108, S. thermophilus 1,00 x108, B. breve 5,00 x107, L. acidophilus 5,00 x107, B. infantis 4,00 x 107, L. bulgaricus 1,00 x 107)",Hogar y Salud
Mutum 150mg Cápsula – Caja 4 UN,28.0,,Hogar y Salud
Mycofentin 1000 Mg Cápsula Blanda Vaginal – Caja 1 UN,43.1,,Hogar y Salud
Mylanta Dos Suspensión Fresa – Frasco 240 ML,27.3,,Hogar y Salud
Nat D 1000UI Tableta – Frasco 60 Un,51.0,No encontrado,Hogar y Salud
Neo Nisoprex 15Mg/5Ml Jarabe – Frasco 100 mL,28.0,Prednisolona 15 mg,Hogar y Salud
Neonypol Cápsula Blanda Vaginal,26.0,Neomicina + Nistatina + Polimixina B,Hogar y Salud
Neopresol 10 mg Comprimidos,229.0,,Hogar y Salud
Netaf 10 mg/ml Suspensión Oral Gotas – Frasco 20 ML,62.8,,Hogar y Salud
Neumocortplus 160mcg/4.5mcg/dosis Aerosol para inhalación – Caja 1 UN,104.2,Budesonida 160mcg|Fumarato de Formoterol dihidrato 4.5mcg,Hogar y Salud
Neurodioxaflex 50mg + 50mg + 50mg + 0.25mg Cápsula,19.2,,Hogar y Salud
Neurotol 100MG Tableta Recubierta – Caja 10 UN,43.0,,Hogar y Salud
Neurotol 25MG Tableta Recubierta – Caja 10 UN,22.0,,Hogar y Salud
Nimodipino 30mg Tableta,9.0,Nimodipino 30mg,Hogar y Salud
Nistaglos Ungüento – Tubo 30 G,43.1,Nistatina 100.000 UI + Oxido de Zinc 150 MG,Hogar y Salud
Nodon 5mg Tabletas,120.0,,Hogar y Salud
Notfebril Jarabe – Frasco 60 ML,9.5,No encontrado,Hogar y Salud
Novocortil-L NF Crema – Tubo 15 G,27.4,No encontrado,Hogar y Salud
Omeprazol 40mg Polvo para Solución Inyectable,5.5,,Hogar y Salud
Oromet 850mg Tabletas Recubiertas,100.0,,Hogar y Salud
Oromet XR 1000mg Tableta de Liberación Prolongada,16.5,Clorhidrato de Metformina 1000mg,Hogar y Salud
Oseomec 150mg Tableta – Caja 1 Un,49.9,Ácido ibandronico 150mg,Hogar y Salud
Ovejillo Stevia Plus Líquido – Frasco 100 mL,20.0,Estevia + Sucralosa + Acido Cítrico + Potasio Sorbato,Hogar y Salud
Panadol Forte (Sob/2 Tab),2.0,,Hogar y Salud
Pantoderm Crema – Tubo 30 G,18.9,,Hogar y Salud
Pantopranex 40mg Tableta,34.0,Pantoprazol 40mg,Hogar y Salud
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 118 ML,15.0,,Hogar y Salud
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 236 ML,25.0,,Hogar y Salud
Phyto Soya Gel vaginal – Caja 8 Un,73.7,,Hogar y Salud
Piroxicam 20 Mg Tabletas,1.0,Piroxicam 20 Mg,Hogar y Salud
Plidan compuesto 10mg+500mg Comprimido Recubierto – Caja 100 Un,94.0,Escopolamina butilbromuro 10 mg Paracetamol 500 mg,Hogar y Salud
Polcem 6MG/ML Solución Oral – Frasco 10ml,22.1,Ivermectina 6mg,Hogar y Salud
Portil Crema NF Portugal – Tubo 20 G,8.9,Clotrimazol | Gentamicina | Betametasona,Hogar y Salud
Posulen 90mg Óvulos,5.0,Policresuleno 90mg,Hogar y Salud
Powers’ X Gold Comprimidos – Frasco 20 UN,85.0,No encontrado,Hogar y Salud
Preservativo CLICK Clásico – Caja 3 UN,3.8,No encontrado,Hogar y Salud
Preservativo Durex Clasico – Caja 12 Un,27.9,No encontrado,Hogar y Salud
Preservativo Five Extreme – Caja 5 UN,7.8,,Hogar y Salud
Preservativo Five Extreme. Caja 5 UN – 3×2,23.4,,Hogar y Salud
Preservativo Five Time Efecto Retardante – Caja 5 UN,8.0,,Hogar y Salud
Preservativo Five Time Efecto Retardante. Caja 5 UN – 3×2,24.0,,Hogar y Salud
Preservativo Gents Retardante. Caja 3 UN – 3×2,17.7,No encontrado,Hogar y Salud
Preservativos Durex Extra Seguro – Caja 3 UN,10.5,No encontrado,Hogar y Salud
Preservativos Durex Invisible – Caja 3 UN,11.4,No encontrado,Hogar y Salud
Preservativos Durex Real Feel – Caja 3 UN,11.9,No encontrado,Hogar y Salud
Preservativos Five Hot – Caja 5 UN,7.7,,Hogar y Salud
Preservativos Five Hot. Caja 5 UN – 3×2,23.1,,Hogar y Salud
Preservativos Five Original – Caja 5 UN,7.9,,Hogar y Salud
Preservativos Five Original. Caja 5 UN – 3×2,23.7,,Hogar y Salud
Preservativos Five Skin Ultra Sensible – Caja 5 UN,7.8,,Hogar y Salud
Preservativos Five Skin Ultra Sensible. Caja 5 UN – 3×2,23.4,,Hogar y Salud
Preservativos Five Steel Doble Textura – Caja 5 UN,7.8,,Hogar y Salud
Preservativos Five Steel Doble Textura. Caja 5 UN – 3×2,23.4,,Hogar y Salud
Preservativos Five XL – Caja 5 UN,8.0,,Hogar y Salud
Preservativos Five XL. Caja 5 UN – 3×2,24.0,,Hogar y Salud
Preservativos Gents Clásico. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Preservativos Gents con Aros – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Preservativos Gents con Aros. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Preservativos Gents con Espuelas. Caja 3 UN – 3×2,18.0,No encontrado,Hogar y Salud
Prevenil 5 Comprimido,54.0,Montelukast 5mg,Hogar y Salud
Prima Prueba de Próstata PSA – Caja 1 UN,38.0,No encontrado,Hogar y Salud
Pripax 150mg Cápsula – Caja 10 UN,39.6,,Hogar y Salud
Procthyl 5-1% Ungüento – Tubo 20 G,37.8,Policresuleno 5g | Cincocaína clorhidrato 1g,Hogar y Salud
Promestine 1% Crema vaginal – Tubo 15 G,40.7,,Hogar y Salud
Provera 5 Mg Tabletas,17.3,Medroxiprogesterona 5mg,Hogar y Salud
Restorflora BC 5mL Ampolla Bebible,3.5,,Hogar y Salud
Reteven CR 10 Mg Comprimidos Recubiertos – Caja 10 UN,78.5,Oxibutinina 10 MG,Hogar y Salud
Reumafrost NF Ungüento – Pote 60 G,15.2,,Hogar y Salud
Rhino-BB DM 0.9% Solución Gotas Nasales – Frasco 15 ML,11.5,,Hogar y Salud
Rinokid 3% Solución Nasal para Nebulización – Frasco 25 ML,28.5,,Hogar y Salud
Rinomar Babies Isotónico Higiene Diaria Solución para pulverización nasal – Frasco 30 ML,29.5,,Hogar y Salud
Risperidona 2 Mg Tableta,8.0,Risperidona 2 mg,Hogar y Salud
Roaccutan 10mg Cápsulas Blandas,132.7,Isotretinoina 10 Mg,Hogar y Salud
Roaccutan 20mg Cápsulas Blandas,162.0,Isotretinoina 10 Mg,Hogar y Salud
Rupafin 10mg Comprimidos,48.2,Rupatadina 10 Mg,Hogar y Salud
Rylamax 1G Polvo Para Solución Inyectable – Caja 1 Vial + Solvente,16.9,Ceftriaxona,Hogar y Salud
Secnizol 2g Gránulos para Solución Oral – Caja 1 Sobre,25.0,Secnidazol 2g,Hogar y Salud
Serotocaf 500mg Cápsula,20.0,CEFALEXINA,Hogar y Salud
Shampoo Micopirox 1% Champú – Frasco 100 mL,48.2,Ciclopirox 1 %,Hogar y Salud
Sildenafilo 100mg Tableta Recubierta,6.0,No encontrado,Hogar y Salud
Sildenafilo 50mg Tableta Recubierta,4.7,No encontrado,Hogar y Salud
Somatinn 1mg Tabletas,6.9,Melatonina 1mg,Hogar y Salud
Spasmomen 40 Mg Tabletas Recubiertas,38.0,Bromuro de etilonio 40 mg,Hogar y Salud
Spasmonium 40mg Tableta Recubierta,34.0,Otilonio Bromuro 40mg,Hogar y Salud
Sprainer Solución Oftálmica – Frasco 80 mL,68.5,Caléndula | Extracto de manzanilla,Hogar y Salud
Sulconar 25mg-250mg Tableta,115.4,,Hogar y Salud
Sulfanil 1% Crema – Tubo 20 G,12.9,,Hogar y Salud
Sutras 20mg Tabletas,60.0,Tadalafilo,Hogar y Salud
Synthroid 100mcg Tabletas,32.0,100 mcg Levotiroxina Sódica,Hogar y Salud
Synthroid 25mcg Tabletas,16.8,25 mcg Levotiroxina Sódica,Hogar y Salud
Synthroid 75mcg Tabletas,27.5,,Hogar y Salud
Systalan en Ocuvial Solución oftálmica estéril – Caja 30 UN,134.6,,Hogar y Salud
TalenTum 10 MG Tableta Recubierta – Caja 30 UN,77.7,,Hogar y Salud
Talflex Bi 150Mg Comprimidos – Caja 14 Un,56.0,Ketoprofeno 150mg,Hogar y Salud
Tamsulosina 0.4mg Cápsulas de liberación prolongada,7.7,Tamsulosina 0.4mg,Hogar y Salud
TDN Allergy 10mg Cápsula Blanda,16.0,,Hogar y Salud
Tensoflow 5mg Tableta Recubierta,84.0,,Hogar y Salud
Teraliv 5mg Tabletas,10.0,No encontrado,Hogar y Salud
Thyrofix 100mcg Tableta,6.0,Levotiroxina sódica 100 mcg,Hogar y Salud
Thyrofix 50mcg Tableta,4.6,Levotiroxina sódica 50 mcg,Hogar y Salud
Tintura de Yodo Solución – Frasco 30 ML,3.9,No encontrado,Hogar y Salud
"Tobrazol DX 0,3% + 0,1% ungüento oftálmico",50.9,"Tobramicina 0,3 g Dexametasona 0,1 g",Hogar y Salud
Tonopan Migraña 250mg +250mg + 65mg Tableta Recubierta,1.5,,Hogar y Salud
Tonopan Niños Gotas – Frasco 15 ML,10.5,,Hogar y Salud
"Topicalm 0,05% Crema – Tubo 30 G",27.0,,Hogar y Salud
Tretocheck 20mg Cápsulas Blandas,38.4,Isotretinoína 20mg,Hogar y Salud
Ursodex 300 mg Comprimidos,162.0,Ácido Ursodeoxicolico 300 MG,Hogar y Salud
Ursoflow 250mg Cápsulas – Caja 30 Un,143.5,,Hogar y Salud
Valtero 500mg Tabletas Recubiertas,81.0,,Hogar y Salud
Vanthia 10mg Tabletas,32.0,,Hogar y Salud
Vaselina Reuter con Perfume – Lata 5 G,1.2,No encontrado,Hogar y Salud
Vaselina Reuter sin Perfume – Lata 5 G,1.0,No encontrado,Hogar y Salud
Vaselina Sólida Alkofarma – Pote 100 G,7.1,No encontrado,Hogar y Salud
Vaselina Sólida Dismed – Pote 30 G,3.3,No encontrado,Hogar y Salud
Vedipal 450mg / 50mg Comprimido recubierto – Caja 20 UN,72.0,,Hogar y Salud
Vedipal® 1000 900Mg + 100Mg Tableta Recubierta – Caja 30 UN,174.6,,Hogar y Salud
Velamox 250 250mg/5ml Suspensión Oral – Frasco 60 mL,22.5,Amoxicilina 250mg,Hogar y Salud
Ventris 5mg Tableta Recubierta,59.4,Mosaprida 5 MG,Hogar y Salud
Vgliptmet 50mg/1000mg Tableta Recubierta,64.2,,Hogar y Salud
Vilzer 50mg Comprimido – Caja 30 UN,71.0,,Hogar y Salud
Vilzermet 50-1000mg Comprimido recubierto – Caja 30 UN,75.0,,Hogar y Salud
Violeta de Genciana Portugal 1% – Frasco 30 ML,1.6,No encontrado,Hogar y Salud
Vitamina B12 Injektopas Solución Inyectable,15.5,Vitamina B12,Hogar y Salud
Voltaren Emulgel 1.16% Gel – Tubo 30 G,20.6,,Hogar y Salud
Xenda Solución Oftálmica – Frasco 3 mL,98.9,Latanoprost 0.005%,Hogar y Salud
Xorlyst 120mg Cápsulas,19.4,Orlistat 120mg,Hogar y Salud
Zentel 400Mg/10Ml Suspensión Oral – Frasco 10 mL,15.5,Albendazol 400mg,Hogar y Salud
Zetafex 30mg/5ml Suspensión Oral – Frasco 150 ML,60.0,No encontrado,Hogar y Salud
ZOCEF 1G Vial Solución Inyectable + 1 ampolla solvente x 3.5 mL via I.M.,16.9,No encontrado,Hogar y Salud
Aci Basic 400mg-30mg/5ml Suspensión Oral – Frasco 150 mL,19.9,Magaldrato 400mg | Simeticona 30mg,Hogar y Salud
Alviera 0.1% Crema tópica – Tubo 30 G,59.2,Adapaleno 0.1g,Hogar y Salud
Amigdazol B 0.15% Solución para Pulverización Bucal,22.1,No encontrado,Hogar y Salud
Amikacina MED 500 mg/2mL Solución Inyecable,3.3,,Hogar y Salud
Amoxicilina + Ácido Clavulánico 500mg /125mg Tabletas Recubiertas,13.0,Amoxicilina 500mg | ácido clavulánico 125mg,Hogar y Salud
Angie CD – Caja 28 UN,48.8,Clormadinona – Etinilestradiol,Hogar y Salud
Assis 400 Mg-30 Mg/5 Ml Suspensión – Frasco 220 mL,28.0,Magaldrato | Simeticona,Hogar y Salud
Atorvastatina ACF 20 mg Tableta Recubierta,2.4,Atorvastatina 20mg,Hogar y Salud
Bismucar Suspensión Oral Sabor Fresa – Frasco 340 mL,20.9,Subsalicilato De Bismuto 87.33mg/5ml,Hogar y Salud
Cefraspor 250mg/5ml Polvo para Suspensión Oral – Frasco 100 ML,85.6,,Hogar y Salud
Cetirizina 5mg/5ml Jarabe – Frasco 60 ML,5.5,Cetirizina Diclorhidrato 5mg,Hogar y Salud
Cetriler 2.5 mg/5 mL Jarabe – Frasco 60 ML,37.8,,Hogar y Salud
Claritromicina ACF 500mg Tableta Recubierta,16.0,,Hogar y Salud
Clavumox 250Mg + 62.5 Mg/5 Ml Polvo para Suspensión Oral – Frasco 60 ML,76.0,Amoxicilina | Ácido clavulánico,Hogar y Salud
Colchicina FMD 0.5 mg Tableta,4.5,,Hogar y Salud
Cortiflex 0.025% Crema Tópica – Tubo 60 G,24.2,Triamcinolona 0.025%,Hogar y Salud
Davintex 120mg Comprimidos Recubiertos,68.6,Etoricoxib 120 MG,Hogar y Salud
Dayflu Active,13.0,Acetaminofen 325mg Fenilefrina clorhidrato 5mg Dextrometorfano Bromhidrato 10mg,Hogar y Salud
Deflazacort ACF 30 Mg Tabletas,32.0,Deflazacort 30 Mg,Hogar y Salud
Deflazacort ACF 6 Mg Tabletas,12.9,DEFLAZACORT 6 MG,Hogar y Salud
Detrucalm 200mg Comprimido Recubierto,46.5,,Hogar y Salud
Dibrolax 10mg/ml Solución para gotas orales – Frasco 20 mL,43.6,,Hogar y Salud
Dolomax 100mg/5ml Suspensión Oral – Frasco 60 ML,12.2,Ibuprofeno 100mg,Hogar y Salud
Enalapril FMD 20 mg Tableta – Caja 100 UN,9.0,Maleato de Enalapril 20mg,Hogar y Salud
Esoton 20 Mg,24.5,Esomeprazol 20 MG,Hogar y Salud
Evaclean Polvo para Suspensión Oral,21.0,Polietilenglicol 105g|Bicarbonato de sodio 1.43g|Cloruro de sodio 2.8g |Cloruro de potasio 0.37g,Hogar y Salud
Flexofytol Cápsulas blandas,153.3,Extracto Bio-optimizado de Curcuma longa 42 mg – 52.5 mg estandarizado a 42 mg de curcumina,Hogar y Salud
Funzal Twin 150 Mg Cápsulas – Caja 2 UN,28.6,Fluconazol 150mg,Hogar y Salud
Ginothyl 90mg Óvulos,4.0,Policresuleno 90mg,Hogar y Salud
Hidrivag Gel – Tubo 60 G,65.0,Extracto acuoso de Isoflavonas de Soya| Ácido hialuronico|Acido láctico,Hogar y Salud
Ibuprofeno 100mg/5ml Suspensión Oral – Frasco 60 ML,2.2,Ibuprofeno 100mg,Hogar y Salud
Ladee 0.03mg/3 mg Recubierto – Caja 28 UN,30.7,Drosperinona – Etinilestradiol,Hogar y Salud
lafi-til7 1% Crema tópica – Tubo 15 G,27.2,Terbinafina 1%,Hogar y Salud
Lamisil 1% Crema – Tubo 15 G,29.5,Clorhidrato De Terbinafina 1%,Hogar y Salud
Lamisil 1% Solución – Frasco 30 mL,44.9,Clorhidrato De Terbinafina 1%,Hogar y Salud
Mantixa 5 5mg Comprimido recubierto,135.9,Apixaban 5 mg,Hogar y Salud
Maxicef 100 Mg/ 5 Ml Polvo para Suspensión Oral – Frasco 120 ML,97.7,,Hogar y Salud
Mecotrex 200mg/5ml Polvo Para Suspensión Oral – Frasco 30 ML,27.5,Azitromicina 200mg,Hogar y Salud
Mejoral 500 mg – 30 mg Tabletas,3.0,Ácido acetilsalicílico | Cafeína,Hogar y Salud
Meloxicam ACF 15mg Tabletas,3.5,Meloxicam 15mg,Hogar y Salud
Mupirocina ACF 2% Ungüento – Tubo 15 G,20.1,Mupirocina 2%,Hogar y Salud
Mupirox 2% Ungüento Tópico – Tubo 15 G,25.7,Mupirocina 2%,Hogar y Salud
Naproxeno PEFA sódico 550mg Tableta recubierta,3.8,Naproxeno 550mg,Hogar y Salud
Nisoprex 5 mg/5ml Suspensión oral – Frasco 120 ML,24.9,Prednisona 5 mg,Hogar y Salud
Notizol B Crema – Tubo 20 G,12.4,Clotrimazol 1.00 G | Dexametasona 0.05 G | Gentamicina 0.10 G,Hogar y Salud
Paltomiel Infantil Jarabe – Frasco 125 mL,15.0,"Extracto de Hoja de Eucaliptus 19.7ml, Extracto de Hoja de Persea 19.7ml",Hogar y Salud
Preservativos Durex Sensitivo Delgado – Caja 3 UN,12.0,No encontrado,Hogar y Salud
Reflexan 10mg Comprimidos Recubiertos,64.7,,Hogar y Salud
Reflexan 5mg Coprimidos Recubiertos,30.2,,Hogar y Salud
Repriman 500mg/ml Solución Oral Gotas – Frasco 10 ML,8.2,No encontrado,Hogar y Salud
Sildenafilo 100mg Tabletas Recubiertas,16.0,Sildenafilo 100 MG,Hogar y Salud
Sildenafilo 50 mg Tableta recubierta,11.3,Sildenafilo 50 MG,Hogar y Salud
Valsartan ACF 80mg Tabletas,17.4,,Hogar y Salud
Xumer 120mg Comprimido Recubierto,49.7,Etoricoxib 120 MG,Hogar y Salud
Aerofit 80mg/ml Suspensiòn Oral Gotas Sabor Anis – Frasco 15 ML,13.5,No encontrado,Hogar y Salud
Aerox 80Mg/Ml Fresa – Frasco 15 Ml,13.5,No encontrado,Hogar y Salud
AmoxiCLin CL 12H Polvo para Suspensión Oral – Frasco 75 ML,93.6,,Hogar y Salud
Betapluss 0.05 % Crema – Tubo 20 G,5.7,Betametasona,Hogar y Salud
Buscamint 12 Cap Blandas,29.3,Aceite de menta (Mentha x piperita L.) 0.2 mL [equivalente a 181.6 mg].,Hogar y Salud
Cefacrol 500 Mg Polvo para Inyectable – Caja 1 UN,19.6,,Hogar y Salud
Cetirizina 10mg PEFA – Caja 100 UN,10.0,Cetirizina 10mg,Hogar y Salud
Clotrimazol Crema ACF 1% – Tubo 20 G,2.8,CLOTRIMAZOL 1 %,Hogar y Salud
Coluquim 100 Mg/5 Ml Suspensión oral – Frasco 60 ML,35.5,Nitazoxanida 2g,Hogar y Salud
Coluquim 500mg Tableta recubierta,29.3,NITAZOXANIDA 500 MG,Hogar y Salud
Contravaris 100mg Cápsula,60.0,"EXTRACTO DE RUSCUS ACULEATUS, L. 100,00 mg",Hogar y Salud
Cortimex 5mg-5ml Jarabe – Frasco 120 ML,23.3,Prednisona 5mg,Hogar y Salud
Dalgiet 2mg Comprimido – Caja 28 UN,113.2,Dienogest 2mg,Hogar y Salud
Dexabron Expectorante Jarabe – Frasco 120 ML,14.4,Dextrometorfano 10mg | Guaifenesina 100mg,Hogar y Salud
Diclofenaco FMD 1% Gel – Tubo 50 G,6.6,DICLOFENACO SÓDICO 1g,Hogar y Salud
Dienille 2/0.03mg Comprimido Recubierto – Caja 28 UN,33.4,Dienogest 2mg | Etinilestradiol 0.03mg,Hogar y Salud
Espirone 100mg Tableta Recubierta,22.7,Espironolactona 100mg,Hogar y Salud
Espirone 25 Mg Tabletas Recubiertas,10.7,Espironolactona 25mg,Hogar y Salud
Fisioplus Forte 2% Gel – Tubo 50 G,20.0,Diclofenaco 2%,Hogar y Salud
Flavoxato 200mg Tableta Recubierta,44.9,Flavoxato 200mg,Hogar y Salud
Flucomecomax 150mg Cápsulas – Caja 2 UN,12.2,FLUCONAZOL 150mg,Hogar y Salud
Furoxinol 500mg Tableta Recubierta,65.7,,Hogar y Salud
Gestageno 200 Cápsulas Blandas,65.7,Progesterona 200 mg,Hogar y Salud
Gripamec Tabletas Recubiertas,12.0,Paracetamol 325mg | Clorfenamina 2mg | Fenilefrina 5mg | Dextrometorfano 10mg,Hogar y Salud
Hadensa Pomada Vía Rectal – Tubo 15 G,40.2,"Policresuleno 5,000gCincocaína clorhidrato 1,000g",Hogar y Salud
Hemofolic Cápsula Blanda,66.9,Lipofer (hierro micro encapsulado) 30.00 mg Fe | Quatrefolic (vitamina B9) 400.00 ug,Hogar y Salud
Idon 10mg/ml Suspensión Oral Gotas – Frasco 15 ML,37.3,DOMPERIDONA 10mg,Hogar y Salud
Invictus 5mg Comprimidos Recubiertos,34.0,Tadalafilo 5mg,Hogar y Salud
Ketesse 25mg tableta,38.8,Desketoprofeno 25 MG,Hogar y Salud
Ketorolaco 10 Mg Tableta Recubierta,7.6,,Hogar y Salud
Mesames Mini 24 Comprimidos Recubiertos – Caja 28 UN,25.5,No encontrado,Hogar y Salud
Milpax F 500mg/10mL + 267mg/10 Ml + 160mg/10mL Suspensión Oral,50.7,"Alginato de Sodio 500mg, Bicarbonato de sodio 267mg,Carbonato de Calcio 160mg.",Hogar y Salud
Misulona 200mg Cápsulas Blandas – Caja 10 UN,32.5,No encontrado,Hogar y Salud
Percof 30mg / 5ml Jarabe – Frasco 120 ML,19.0,Levodropropizina 30mg/5ml,Hogar y Salud
Postinor 1 Comprimido – Caja 1 UN,21.9,,Hogar y Salud
Prednisona IQF 5mg Tableta,1.1,Prednisona 5 mg,Hogar y Salud
Preservativo Piel Clásico – Caja 3 UN,4.7,No encontrado,Hogar y Salud
Preservativo Piel Con Espuelas – Caja 3 UN,4.7,No encontrado,Hogar y Salud
Preservativo Piel con Retardante – Caja 3 UN,5.8,No encontrado,Hogar y Salud
Repriman 250mg/5ml Jarabe – Frasco 50 ML,10.2,Metamizol Sódico 250mg,Hogar y Salud
Reteven 5 Mg Comprimidos,33.4,,Hogar y Salud
Reumoflex Forte – Pote 100 G,28.9,No encontrado,Hogar y Salud
Sucralex 1g/5ml Suspensión oral – Frasco 200 ML,35.4,Sucralfato 1g,Hogar y Salud
Sulfamed NF 1% Crema Tópico – Tubo 15 G,12.4,Sulfadiazina de Plata 1g,Hogar y Salud
Toban F 2 Mg Tableta,6.5,Loperamida 2mg,Hogar y Salud
Tusilexil NF Jarabe – Frasco 120 ML,25.8,Dextrometorfano Bromhidrato 15mg/5mL + Difenhidramina Clorhidrato 7.5mg/5mL,Hogar y Salud
Velamox 500 Mg Suspensión – Frasco 60 ML,26.5,,Hogar y Salud
Velamox 750 Mg Suspensión – Frasco 70 ML,25.5,,Hogar y Salud
Xeniler Jarabe – Frasco 60 ML,15.6,Cetirizina 5g,Hogar y Salud
Zetaler 5mg/5ml jarabe – Frasco 60 ML,37.3,Cetirizina clorhidrato 5mg,Hogar y Salud
Zirax 200 MG/5ML Suspensión – Frasco 30 ML,32.5,,Hogar y Salud
Paracetamol 160mg/5mL Jarabe – Frasco 90 ML,7.5,Paracetamol 160mg,Hogar y Salud
Preservativo Gents Retardante – Caja 3 UN,5.8,No encontrado,Hogar y Salud
Preservativos Gents Clásico – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Preservativos Gents con Espuelas – Caja 3 UN,5.9,No encontrado,Hogar y Salud
Albothyl 90 mg Óvulos Vaginal,62.4,,Hogar y Salud
Alizar 0.05% Crema Tópica – Tubo 30 G,48.9,Clobetasol Propionato 0.05%,Hogar y Salud
Arcoxia 120mg Comprimido Recubierto,89.0,Etoricoxib 120 MG,Hogar y Salud
Arcoxia 90 Mg Comprimidos Recubiertos,65.3,Etoricoxib 90mg,Hogar y Salud
Astarté 28 3mg/0.03mg Comprimidos Recubiertos – Caja 28 UN,28.9,"DROSPIRENONA 3mg, ETINILESTRADIOL 0.03mg",Hogar y Salud
Bactrim Forte 400 80mg/5ml Suspensión oral – Frasco 100 ML,27.2,,Hogar y Salud
Clenbuvent Expectorante Jarabe – Frasco 120 ML,28.5,Clenbuterol clorhidrato 0.005mg | Ambroxol clorhidrato 7.5mg,Hogar y Salud
"Clenvuvent Expectorante Forte 0,01mg – 15mg/5ml Jarabe – Frasco 120 ML",31.0,Clenbuterol clorhidrato 0.01mg | Ambroxol clorhidrato 15mg,Hogar y Salud
Clinotrin 3 150mg/ml Suspensión Inyectable – Caja 1 UN,23.0,No encontrado,Hogar y Salud
Diclofenaco 75mg/3ml Solución inyectable,0.8,Diclofenaco sódico 75mg,Hogar y Salud
Femelle 3 Mg-0.03 Mg Comprimidos Recubiertos – Caja 28 UN,37.4,Etinilestradiol 0.030mg | Drospirenona 3.00 mg,Hogar y Salud
Fresh Tears 0.5% Solución Oftálmica – Frasco 15 ML,64.0,Carboximetilcelulosa sódica 0.5%,Hogar y Salud
Gaseovet CB 240mg Cápsula Blanda,142.2,Simeticona 240 MG,Hogar y Salud
Gaseovet Compositum Cápsula Blanda,151.0,Simeticona 40 G | Alverina Citrato 10 G,Hogar y Salud
Geslutin PNM 200mg Cápsula Blanda,69.2,Progesterona 200mg,Hogar y Salud
Lanzopral Heli Pack Cápsula de Liberación Retardada,298.2,Lansoprazol 500 MG | Claritromicina 500 MG | Amoxicilina 30 MG,Hogar y Salud
Mesames Mini Comprimidos Recubiertos – Caja 28 UN,28.0,No encontrado,Hogar y Salud
Metbact 500mg Tableta,12.0,Metronidazol 500 mg,Hogar y Salud
Metformina 850 Mg Tableta,3.7,Metformina 850mg,Hogar y Salud
Neo Nisoprex 15mg/5ml Jarabe – Frasco 60 ML,26.5,Prednisolona 15mg,Hogar y Salud
Nistazinc NF Ungüento – Tubo 15 G,19.6,No encontrado,Hogar y Salud
Nonpiron 100mg/5ml Suspensión Oral – Frasco 60 ML,11.4,Ibuprofeno 100mg,Hogar y Salud
Ovestin 0.5 Mg Ovulos Vaginales,51.4,Estriol 0.5 mg,Hogar y Salud
Rowachol NF Cápsula blanda Gastrorresistente,137.0,,Hogar y Salud
Rowatinex Cápsula Blanda,14.7,,Hogar y Salud
Serecur 320mg Cápsula,179.9,,Hogar y Salud
Sildenafilo 50mg Tableta Recubierta,2.1,Sildenafilo 50mg,Hogar y Salud
Tukol-D Jarabe – Frasco 120 ML,16.6,No encontrado,Hogar y Salud
Uroberry Pacs Forte,154.0,,Hogar y Salud
Zymaxid 0.5% Solución Oftálmica – Frasco 5 ML,106.8,"Gatifloxacina 0,5%",Hogar y Salud
Aquol Fresh 0.0125 % Colirio Solución Oftálmica – Frasco 15 ML,13.7,,Hogar y Salud
Bronax 0.09% Solución Oftálmica Estéril – Frasco 5 ML,74.5,,Hogar y Salud
Flumetol NF Ofteno Suspensión Oftálmica – Frasco 5 ML,71.0,ACETATO DE FLUOROMETOLONA 0.1%,Hogar y Salud
Gentile 0.3% Solucion Oftalmica – Frasco 5 ML,19.0,No encontrado,Hogar y Salud
Lagricel Ofteno Solución Oftálmica – Frasco 10 ML,97.9,Hialuronato de Sodio 0.4%,Hogar y Salud
Lotesoft 0.5% Suspensión Oftálmica Estéril – Frasco 5 ML,44.8,Loteprednol Etabonato 0.50%,Hogar y Salud
Multi-3 Plus con Aquazym Solucion Multiproposito – Frasco 120 ML,30.0,No encontrado,Hogar y Salud
Unilife Plus Lutein Capsula Blanda – Frasco 60 UN,108.3,No encontrado,Hogar y Salud
Unimox 0.5% Solución Oftálmica – Frasco 5 ML,77.8,"Moxifloxacino 0,5%",Hogar y Salud
