Producto;Precio;PrincipioActivo
Vedipal 450mg / 50mg Comprimido recubierto – Caja 20 UN;72.0;No encontrado
Vedipal® 1000 900Mg + 100Mg Tableta Recubierta – Caja 30 UN;174.6;No encontrado
Velamox 250 250mg/5ml Suspensión Oral – Frasco 60 mL;22.5;No encontrado
Ventris 5mg Tableta Recubierta;59.4;No encontrado
Vgliptmet 50mg/1000mg Tableta Recubierta;64.2;No encontrado
Vilzer 50mg Comprimido – Caja 30 UN;71.0;No encontrado
Vilzermet 50-1000mg Comprimido recubierto – Caja 30 UN;75.0;No encontrado
Violeta de Genciana Portugal 1% – Frasco 30 ML;1.6;No encontrado
Vitamina B12 Injektopas Solución Inyectable;15.5;No encontrado
Voltaren Emulgel 1.16% Gel – Tubo 30 G;20.6;No encontrado
Xenda Solución Oftálmica – Frasco 3 mL;98.9;No encontrado
Xorlyst 120mg Cápsulas;19.4;No encontrado
Zentel 400Mg/10Ml Suspensión Oral – Frasco 10 mL;15.5;No encontrado
Zetafex 30mg/5ml Suspensión Oral – Frasco 150 ML;60.0;No encontrado
ZOCEF 1G Vial Solución Inyectable + 1 ampolla solvente x 3.5 mL via I.M.;16.9;No encontrado
Aci Basic 400mg-30mg/5ml Suspensión Oral – Frasco 150 mL;19.9;No encontrado
Alviera 0.1% Crema tópica – Tubo 30 G;59.2;No encontrado
Amigdazol B 0.15% Solución para Pulverización Bucal;22.1;No encontrado
Amikacina MED 500 mg/2mL Solución Inyecable;3.3;No encontrado
Amoxicilina + Ácido Clavulánico 500mg /125mg Tabletas Recubiertas;13.0;No encontrado
Angie CD – Caja 28 UN;48.8;No encontrado
Assis 400 Mg-30 Mg/5 Ml Suspensión – Frasco 220 mL;28.0;No encontrado
Atorvastatina ACF 20 mg Tableta Recubierta;2.4;No encontrado
Bismucar Suspensión Oral Sabor Fresa – Frasco 340 mL;20.9;No encontrado
Cefraspor 250mg/5ml Polvo para Suspensión Oral – Frasco 100 ML;85.6;No encontrado
Cetirizina 5mg/5ml Jarabe – Frasco 60 ML;5.5;No encontrado
Cetriler 2.5 mg/5 mL Jarabe – Frasco 60 ML;37.8;No encontrado
Claritromicina ACF 500mg Tableta Recubierta;16.0;No encontrado
Clavumox 250Mg + 62.5 Mg/5 Ml Polvo para Suspensión Oral – Frasco 60 ML;76.0;No encontrado
Colchicina FMD 0.5 mg Tableta;4.5;No encontrado
Cortiflex 0.025% Crema Tópica – Tubo 60 G;24.2;No encontrado
Davintex 120mg Comprimidos Recubiertos;68.6;No encontrado
Dayflu Active;13.0;No encontrado
Deflazacort ACF 30 Mg Tabletas;32.0;No encontrado
Deflazacort ACF 6 Mg Tabletas;12.9;No encontrado
Detrucalm 200mg Comprimido Recubierto;46.5;No encontrado
Dibrolax 10mg/ml Solución para gotas orales – Frasco 20 mL;43.6;No encontrado
Dolomax 100mg/5ml Suspensión Oral – Frasco 60 ML;12.2;No encontrado
Enalapril FMD 20 mg Tableta – Caja 100 UN;9.0;No encontrado
Esoton 20 Mg;24.5;No encontrado
Evaclean Polvo para Suspensión Oral;21.0;No encontrado
Flexofytol Cápsulas blandas;153.3;No encontrado
Funzal Twin 150 Mg Cápsulas – Caja 2 UN;28.6;No encontrado
Ginothyl 90mg Óvulos;4.0;No encontrado
Hidrivag Gel – Tubo 60 G;65.0;No encontrado
Ibuprofeno 100mg/5ml Suspensión Oral – Frasco 60 ML;2.2;No encontrado
Ladee 0.03mg/3 mg Recubierto – Caja 28 UN;30.7;No encontrado
lafi-til7 1% Crema tópica – Tubo 15 G;27.2;No encontrado
Lamisil 1% Crema – Tubo 15 G;29.5;No encontrado
Lamisil 1% Solución – Frasco 30 mL;44.9;No encontrado
Mantixa 5 5mg Comprimido recubierto;135.9;No encontrado
Maxicef 100 Mg/ 5 Ml Polvo para Suspensión Oral – Frasco 120 ML;97.7;No encontrado
Mecotrex 200mg/5ml Polvo Para Suspensión Oral – Frasco 30 ML;27.5;No encontrado
Mejoral 500 mg – 30 mg Tabletas;3.0;No encontrado
Meloxicam ACF 15mg Tabletas;3.5;No encontrado
Mupirocina ACF 2% Ungüento – Tubo 15 G;20.1;No encontrado
Mupirox 2% Ungüento Tópico – Tubo 15 G;25.7;No encontrado
Naproxeno PEFA sódico 550mg Tableta recubierta;3.8;No encontrado
Nisoprex 5 mg/5ml Suspensión oral – Frasco 120 ML;24.9;No encontrado
Notizol B Crema – Tubo 20 G;12.4;No encontrado
Paltomiel Infantil Jarabe – Frasco 125 mL;15.0;No encontrado
Preservativos Durex Sensitivo Delgado – Caja 3 UN;12.0;No encontrado
Reflexan 10mg Comprimidos Recubiertos;64.7;No encontrado
Reflexan 5mg Coprimidos Recubiertos;30.2;No encontrado
Repriman 500mg/ml Solución Oral Gotas – Frasco 10 ML;8.2;No encontrado
Sildenafilo 100mg Tabletas Recubiertas;16.0;No encontrado
Sildenafilo 50 mg Tableta recubierta;11.3;No encontrado
Valsartan ACF 80mg Tabletas;17.4;No encontrado
Xumer 120mg Comprimido Recubierto;49.7;No encontrado
Aerofit 80mg/ml Suspensiòn Oral Gotas Sabor Anis – Frasco 15 ML;13.5;No encontrado
Aerox 80Mg/Ml Fresa – Frasco 15 Ml;13.5;No encontrado
AmoxiCLin CL 12H Polvo para Suspensión Oral – Frasco 75 ML;93.6;No encontrado
Betapluss 0.05 % Crema – Tubo 20 G;5.7;No encontrado
Buscamint 12 Cap Blandas;29.3;No encontrado
Cefacrol 500 Mg Polvo para Inyectable – Caja 1 UN;19.6;No encontrado
Cetirizina 10mg PEFA – Caja 100 UN;10.0;No encontrado
Clotrimazol Crema ACF 1% – Tubo 20 G;2.8;No encontrado
Coluquim 100 Mg/5 Ml Suspensión oral – Frasco 60 ML;35.5;No encontrado
Coluquim 500mg Tableta recubierta;29.3;No encontrado
Contravaris 100mg Cápsula;60.0;No encontrado
Cortimex 5mg-5ml Jarabe – Frasco 120 ML;23.3;No encontrado
Dalgiet 2mg Comprimido – Caja 28 UN;113.2;No encontrado
Dexabron Expectorante Jarabe – Frasco 120 ML;14.4;No encontrado
Diclofenaco FMD 1% Gel – Tubo 50 G;6.6;No encontrado
Dienille 2/0.03mg Comprimido Recubierto – Caja 28 UN;33.4;No encontrado
Espirone 100mg Tableta Recubierta;22.7;No encontrado
Espirone 25 Mg Tabletas Recubiertas;10.7;No encontrado
Fisioplus Forte 2% Gel – Tubo 50 G;20.0;No encontrado
Flavoxato 200mg Tableta Recubierta;44.9;No encontrado
Flucomecomax 150mg Cápsulas – Caja 2 UN;12.2;No encontrado
Furoxinol 500mg Tableta Recubierta;65.7;No encontrado
Gestageno 200 Cápsulas Blandas;65.7;No encontrado
Gripamec Tabletas Recubiertas;12.0;No encontrado
Hadensa Pomada Vía Rectal – Tubo 15 G;40.2;No encontrado
Hemofolic Cápsula Blanda;66.9;No encontrado
Idon 10mg/ml Suspensión Oral Gotas – Frasco 15 ML;37.3;No encontrado
Invictus 5mg Comprimidos Recubiertos;34.0;No encontrado
Ketesse 25mg tableta;38.8;No encontrado
Ketorolaco 10 Mg Tableta Recubierta;7.6;No encontrado
Mesames Mini 24 Comprimidos Recubiertos – Caja 28 UN;25.5;No encontrado
Milpax F 500mg/10mL + 267mg/10 Ml + 160mg/10mL Suspensión Oral;50.7;No encontrado
Misulona 200mg Cápsulas Blandas – Caja 10 UN;32.5;No encontrado
Percof 30mg / 5ml Jarabe – Frasco 120 ML;19.0;No encontrado
Postinor 1 Comprimido – Caja 1 UN;21.9;No encontrado
Prednisona IQF 5mg Tableta;1.1;No encontrado
Preservativo Piel Clásico – Caja 3 UN;4.7;No encontrado
Preservativo Piel Con Espuelas – Caja 3 UN;4.7;No encontrado
Preservativo Piel con Retardante – Caja 3 UN;5.8;No encontrado
Repriman 250mg/5ml Jarabe – Frasco 50 ML;10.2;No encontrado
Reteven 5 Mg Comprimidos;33.4;No encontrado
Reumoflex Forte – Pote 100 G;28.9;No encontrado
Sucralex 1g/5ml Suspensión oral – Frasco 200 ML;35.4;No encontrado
Sulfamed NF 1% Crema Tópico – Tubo 15 G;12.4;No encontrado
Toban F 2 Mg Tableta;6.5;No encontrado
Tusilexil NF Jarabe – Frasco 120 ML;25.8;No encontrado
Velamox 500 Mg Suspensión – Frasco 60 ML;26.5;No encontrado
Velamox 750 Mg Suspensión – Frasco 70 ML;25.5;No encontrado
Xeniler Jarabe – Frasco 60 ML;15.6;No encontrado
Zetaler 5mg/5ml jarabe – Frasco 60 ML;37.3;No encontrado
Zirax 200 MG/5ML Suspensión – Frasco 30 ML;32.5;No encontrado
Paracetamol 160mg/5mL Jarabe – Frasco 90 ML;7.5;No encontrado
Preservativo Gents Retardante – Caja 3 UN;5.8;No encontrado
Preservativos Gents Clásico – Caja 3 UN;5.9;No encontrado
Preservativos Gents con Espuelas – Caja 3 UN;5.9;No encontrado
Albothyl 90 mg Óvulos Vaginal;62.4;No encontrado
Alizar 0.05% Crema Tópica – Tubo 30 G;48.9;No encontrado
Arcoxia 120mg Comprimido Recubierto;89.0;No encontrado
Arcoxia 90 Mg Comprimidos Recubiertos;65.3;No encontrado
Astarté 28 3mg/0.03mg Comprimidos Recubiertos – Caja 28 UN;28.9;No encontrado
Bactrim Forte 400 80mg/5ml Suspensión oral – Frasco 100 ML;27.2;No encontrado
Clenbuvent Expectorante Jarabe – Frasco 120 ML;28.5;No encontrado
"Clenvuvent Expectorante Forte 0;01mg – 15mg/5ml Jarabe – Frasco 120 ML";31.0;No encontrado
Clinotrin 3 150mg/ml Suspensión Inyectable – Caja 1 UN;23.0;No encontrado
Diclofenaco 75mg/3ml Solución inyectable;0.8;No encontrado
Femelle 3 Mg-0.03 Mg Comprimidos Recubiertos – Caja 28 UN;37.4;No encontrado
Fresh Tears 0.5% Solución Oftálmica – Frasco 15 ML;64.0;No encontrado
Gaseovet CB 240mg Cápsula Blanda;142.2;No encontrado
Gaseovet Compositum Cápsula Blanda;151.0;No encontrado
Geslutin PNM 200mg Cápsula Blanda;69.2;No encontrado
Lanzopral Heli Pack Cápsula de Liberación Retardada;298.2;No encontrado
Mesames Mini Comprimidos Recubiertos – Caja 28 UN;28.0;No encontrado
Metbact 500mg Tableta;12.0;No encontrado
Metformina 850 Mg Tableta;3.7;No encontrado
Neo Nisoprex 15mg/5ml Jarabe – Frasco 60 ML;26.5;No encontrado
Nistazinc NF Ungüento – Tubo 15 G;19.6;No encontrado
Nonpiron 100mg/5ml Suspensión Oral – Frasco 60 ML;11.4;No encontrado
Ovestin 0.5 Mg Ovulos Vaginales;51.4;No encontrado
Rowachol NF Cápsula blanda Gastrorresistente;137.0;No encontrado
Rowatinex Cápsula Blanda;14.7;No encontrado
Serecur 320mg Cápsula;179.9;No encontrado
Sildenafilo 50mg Tableta Recubierta;2.1;No encontrado
Tukol-D Jarabe – Frasco 120 ML;16.6;No encontrado
Uroberry Pacs Forte;154.0;No encontrado
Zymaxid 0.5% Solución Oftálmica – Frasco 5 ML;106.8;No encontrado
Aquol Fresh 0.0125 % Colirio Solución Oftálmica – Frasco 15 ML;13.7;No encontrado
Bronax 0.09% Solución Oftálmica Estéril – Frasco 5 ML;74.5;No encontrado
Flumetol NF Ofteno Suspensión Oftálmica – Frasco 5 ML;71.0;No encontrado
Gentile 0.3% Solucion Oftalmica – Frasco 5 ML;19.0;No encontrado
Lagricel Ofteno Solución Oftálmica – Frasco 10 ML;97.9;No encontrado
Lotesoft 0.5% Suspensión Oftálmica Estéril – Frasco 5 ML;44.8;No encontrado
Multi-3 Plus con Aquazym Solucion Multiproposito – Frasco 120 ML;30.0;No encontrado
Unilife Plus Lutein Capsula Blanda – Frasco 60 UN;108.3;No encontrado
Unimox 0.5% Solución Oftálmica – Frasco 5 ML;77.8;No encontrado
Unipred F 1% Suspension Oftalmica – Frasco 5 ML;48.8;No encontrado
Unitears 1% Solución Oftálmica Estéril – Frasco 15 ML;37.6;No encontrado
Unitears D Solucion Oftamica – Frasco 15 ML;40.7;No encontrado
Mentholatum Ungüento Lata 5 G;1.0;No encontrado
Fos-hepan Forte Cápsula blanda;25.0;No encontrado
Prevencel Cápsulas Blandas;33.0;No encontrado
Sopaldine 300mg Cápsula Blanda;125.9;No encontrado
Z-Cal 1000 2% Gel – Tubo 35 G;15.8;No encontrado
Abrilar EA 575 Jarabe – Frasco 100 ML;24.7;No encontrado
Aciclovir 5% Crema – Tubo 5 G;3.0;No encontrado
Aldomet 500 mg Tableta Recubierta;85.0;No encontrado
Amloprednil 10mg Tabletas;21.0;No encontrado
Artanbix 50 mg Tableta recubierta;13.3;No encontrado
Assa 81 mg Tabletas con Recubierta Entérica;12.0;No encontrado
Betapress 100mg Tableta de Liberación Prolongada;114.0;No encontrado
Betapress 50mg Tableta de Liberación Prolongada;83.0;No encontrado
Cholo 2 Injektopas SL Solución Inyectable;13.5;No encontrado
Eukene 40mg Comprimido Recubierto;125.0;No encontrado
Eutirox 150mcg Tabletas;51.8;No encontrado
Eutirox 88 microgramos Tableta;31.5;No encontrado
Fosliselen 3g Gránulos Para Solución Oral;38.9;No encontrado
Glucophage 500 Mg Comprimidos Recubiertos;16.5;No encontrado
Glucophage 850 Mg Comprimidos Recubiertos;85.9;No encontrado
Glucophage XR 750mg Comprimido de Liberación Prolongada;79.0;No encontrado
Iltux 40 Mg Comprimidos Recubiertos;170.0;No encontrado
Iltux HCT 40 Mg/12.5 Mg;157.0;No encontrado
Iltuxam 40/5mg Comprimido Recubierto;287.1;No encontrado
Irrigor Plus 30 Mg/100 Mg;79.1;No encontrado
Isorbide 10 Mg Tabletas;79.6;No encontrado
Losacor D 100 Comprimido Recubierto;135.5;No encontrado
Mecopiron 100mg/5ml Suspensión Oral – Frasco 60 ML;9.9;No encontrado
Nabila 5mg Comprimidos;131.9;No encontrado
Panadol 500Mg Tableta;1.3;No encontrado
Pasconal Forte Injektopas Solución Inyectable;13.5;No encontrado
Prebictal 75mg Cápsula;65.9;No encontrado
Prednimass 5mg/5ml Solución Oral – Frasco 60 ML;17.9;No encontrado
Preservativo Sensation Retardante Liso – Caja 3 UN;5.9;No encontrado
Preservativo Sexe-ET espuelas – Caja 3 UN;4.2;No encontrado
Preservativo Sexe-ET Natural – Caja 3 UN;4.2;No encontrado
Preservativo Sexe-ET Retardante – Caja 3 UN;5.5;No encontrado
Preservativo Sexe-ET Ultra Delgado – Caja 3 UN;4.2;No encontrado
Tapazol 5Mg Tabletas;7.3;No encontrado
Venosmil 2% Gel Tópico;65.0;No encontrado
Biotears 0.3% – 0.1% Solución Oftálmica – Frasco 15 mL;44.7;No encontrado
Dicloptic 0.1% Solución Oftálmica – Frasco 5 mL;35.3;No encontrado
Predso 1% Suspensión Oftálmica 5Ml – Frasco 5 mL;37.5;No encontrado
Frutenzima Forte 172mg + 80mg Comprimido Recubierto;13.0;No encontrado
Xaroban 15 Mg Comprimido – Caja 15 Un;141.4;No encontrado
Xaroban 20 Mg Comprimido – Caja 15 Un;143.0;No encontrado
Zoltum 20 Mg Comprimidos – Caja 14 Un;89.1;No encontrado
Apronax ® 275mg Tabletas Recubiertas;5.7;No encontrado
Bismutol 87.33mg /5ml Suspensión Oral Sin Azúcar – Frasco 150 ML;16.5;No encontrado
Acetak 250 mg Tabletas – Caja 20 Un;52.0;No encontrado
Akamoxx 0.5% Solución Oftálmica – Frasco 5 mL;77.0;No encontrado
Anaflex Mujer NF 200mg Cápsula Blanda;9.0;No encontrado
Dolmax 10mg Tableta Recubierta;22.0;No encontrado
Esomeprazol 40mg Tabletas de Liberación Retardada;9.7;No encontrado
Floril 0.03% Solución Oftálmica – Frasco 15 mL;9.9;No encontrado
Hylo Comod 1Mg/Ml Solución Oftálmica – Frasco 10 mL;92.2;No encontrado
Hylo-Dual Colirio Solución Oftálmica – Frasco 10 mL;95.5;No encontrado
Lagrimas Isotónicas 1.4% Solución Oftálmica – Frasco 15 mL;22.2;No encontrado
Lamoflox 0.5% Solución Oftálmica – Frasco 5 mL;56.9;No encontrado
Naphavit 0.1% Solución Oftálmica – Frasco 15 mL;26.4;No encontrado
Olopak 0.2% Solución Oftálmica – Frasco 5 mL;96.0;No encontrado
Patadine Plus 0.2% Solución Oftálmica – Frasco 5 mL;47.5;No encontrado
Permeafilm 1.4% Solución Oftálmica Estéril – Frasco 15 mL;16.5;No encontrado
Terracorsol Ungüento Oftálmico – Tubo 3.5 Gr;16.6;No encontrado
Tetralan 1% Ungüento Oftálmico – Tubo 6 Gr;13.3;No encontrado
Tobrazol 0.3% Solución Oftálmica – Frasco 5 mL;41.3;No encontrado
Vick 44 Jarabe Sabor Cereza – Frasco 120 ml;18.7;No encontrado
Vick BabyBalm Bálsamo para Bebé – Pote 50 G;12.2;No encontrado
Vick VapoRub Ungüento Tópico – Pote 50 G;10.6;No encontrado
Vick Primera Defensa Solución Nasal 15 ml;26.6;No encontrado
Vick VapoRub Ungüento Tópico – Pote 100 G;18.5;No encontrado
Vick VapoRub Ungüento Tópico – Lata 12 G;3.0;No encontrado
Vitapyrena Forte Antigripal Sabor Miel y Limón – Sobre 5G;2.4;No encontrado
Xaloptic 0.005% Solución Oftálmica – Frasco 3 mL;77.6;No encontrado
Atorslim 40mg Tableta Recubierta;99.1;No encontrado
Hisaler 10mg Comprimidos Recubiertos;11.0;No encontrado
Nastizol Compositum Forte Comprimidos;11.9;No encontrado
Hisaler 5Mg/ 5Ml Jarabe – Frasco 60 mL;42.6;No encontrado
Bagomicina 100 Mg Comprimido Recubierto;60.3;No encontrado
Bagovital Inmune Polvo Sobre;7.3;No encontrado
Bonacoxib 60 Mg Tabletas – Caja 14 Un;56.0;No encontrado
Degraler 2.5 Mg/5 ML Jarabe – Frasco 100 mL;51.9;No encontrado
Dobesium 125Mcg Tableta;48.5;No encontrado
Dobesium 150Mcg Tableta;50.0;No encontrado
Dobesium 75Mcg Tableta;31.0;No encontrado
Fediral 30mg Tableta Recubierta de Liberacion Prolongada;54.7;No encontrado
Flucomix 50 Mcg/Dosis Suspensión Nasal – Frasco 120 DSS;114.9;No encontrado
Furabact 500 Mg Tabletas – Caja 10 Un;60.0;No encontrado
Glicenex SR 500 Mg Comprimido de Liberación Prolongada;41.8;No encontrado
Micoterat 250 Mg Comprimidos;136.5;No encontrado
Tensiflex 300/250 Mg Comprimido Recubierto;18.3;No encontrado
Vastaslim Ez 10Mg/20Mg;77.6;No encontrado
Bactiomax 500Mg Capsulas;12.0;No encontrado
Mecoclin 300Mg;20.0;No encontrado
Balile 75mg Capsulas;25.6;No encontrado
Dulcolax 5 Mg Tabletas de liberación retardada – Caja 100 Un;10.5;No encontrado
Amoxidal Duo 875 Mg Tabletas;9.7;No encontrado
Apronax ® 550mg Tabletas Recubiertas;7.6;No encontrado
Aspirina 100Mg Tabletas;7.0;No encontrado
Bepanthen® Crema – Tubo 100G;70.9;No encontrado
Bepanthen® Crema – Tubo 30G;26.1;No encontrado
BioLactol Solución Bebible;3.7;No encontrado
Buscapina 10 mg Gragea;13.5;No encontrado
Canesten 1% Crema antimicótica – Tubo x 20g;15.5;No encontrado
Cosomidol Solución Oftálmica – Frasco 5 ML;45.2;No encontrado
Dequazol-R 500 mg + 100.000 UI Óvulo Vaginal – Caja 8 Un;69.8;No encontrado
Dicetel 100 Mg Tableta recubierta – Caja 14 Un;75.4;No encontrado
Higabiox 500 Mg Capsulas;56.0;No encontrado
Higabiox 300 Mg Capsulas;25.0;No encontrado
Eutirox 100 Mcg Tabletas;31.3;No encontrado
Eutirox 25 Mcg Tabletas;15.3;No encontrado
Eutirox 50 Mcg Tabletas;19.9;No encontrado
Fisiodol Forte 2% Gel – Tubo 50 G;19.4;No encontrado
Frutti Ped Solución Oral Sabor Fresa – Frasco 500 Ml;6.5;No encontrado
Fruttiflex 50 Solución Oral Sabor Fresa – Frasco 1 L;8.5;No encontrado
Gaseovet 80 Mg Tableta Masticable;23.0;No encontrado
Gentabiot 160mg/2ml Solucion Inyectable;10.0;No encontrado
Gynocanesten® 1% Crema Vaginal;42.2;No encontrado
Lagosa Tabletas recubiertas – Caja 25 Un;74.0;No encontrado
Oratadina Allergy 5mg/5ml Jarabe – Frasco 60 mL;16.9;No encontrado
Panadol 500mg Tableta efervescente;1.2;No encontrado
Cafazolbac 1G Polvo para solución Inyectable – Caja 1 Vial + 1 Solvente;15.9;No encontrado
Ambroxol 30 Mg-5 Ml Jarabe;3.8;No encontrado
Cefalogen 1G I.M Ampolla – Caja 1 Un;15.5;No encontrado
Bicarbonato Sodio – Pote 100 G;2.4;No encontrado
Panadol Antigripal (Sob/2 Tab);2.3;No encontrado
Sifacox 400mg Capsula;45.0;No encontrado
Tonopan 1000 – 20 Tabletas;17.5;No encontrado
Unial 0.4 % Solución Oftálmica – Frasco 10 ML;42.0;No encontrado
Unitob-S Suspensión oftálmica – Frasco 5 ML;51.9;No encontrado
Ketoconazol 200Mg Tabletas – Caja 100 Un;2.1;No encontrado
Paracetamol Gnf 500Mg Tableta;1.0;No encontrado
Glucofervet MSM Polvo para Solucion Oral;89.9;No encontrado
Amlodipino 10 mg Tabletas;1.6;No encontrado
Captopril 25Mg Tabletas;0.8;No encontrado
Ibuprofeno Gnf 800 Mg Tabletas;2.8;No encontrado
Mecoxal 500Mg Cápsulas – Caja 100 Un;15.0;No encontrado
Panadol Infantil Masticables;2.7;No encontrado
Atorvastatina 10mg Tabletas Recubiertas – Caja 100 Un;1.8;No encontrado
Azmasol HFA 100Mcg Aerosol Inhalador – Frasco 200 Dosis;15.0;No encontrado
Dolo Neuropress Forte Tabletas;9.6;No encontrado
Eritromicina 500 Mg Tabletas Recubiertas;6.6;No encontrado
Orfelax 100Mg Tableta;15.0;No encontrado
Prednisona 5mg/5ml Jarabe – Frasco 60 ML;6.7;No encontrado
Trigliout 100Mg Tableta;33.0;No encontrado
Trinaler 200Mg;18.0;No encontrado
Valsartan 80 Mg Tabletas;13.5;No encontrado
Diphazosin 4 Mg XL Tableta;55.9;No encontrado
Fenacina 5 Mg Tableta Recubierta;95.4;No encontrado
Flavosex 200 Mg Tabletas Recubiertas;54.0;No encontrado
Oriflow 0.4 Mg Cápsula de Liberación Prolongada;41.0;No encontrado
Clidan B 1% Gel Dérmico;63.1;No encontrado
Cloranfenicol 250 Mg-5 Ml Suspensión;8.2;No encontrado
Cloranfenicol 500 Mg Cápsula;5.9;No encontrado
Diprofeket 150 Mg Capsulas;39.9;No encontrado
Dolomecab Tabletas – Caja 100 Un;12.0;No encontrado
Enalapril 20 Mg Tabletas – Caja 100 Un;7.5;No encontrado
Lamidizol 250mg Tabletas Recubiertas;75.0;No encontrado
Lavidic Long 100Mg Comprimidos Liberación Prolongada;21.0;No encontrado
Mebendazol 100 Mg Tabletas;1.0;No encontrado
Mecdols 550Mg Tabletas Recubiertas – Caja 100 Un;15.0;No encontrado
Mecoflogan 250Mg/300Mg Tabletas;20.0;No encontrado
Mecoloxib 200Mg;25.0;No encontrado
Medicilina Oral;18.0;No encontrado
Menistin 16 Mg Tabletas Recubiertas;40.9;No encontrado
Metfevril 1G/2Ml Inyectable;7.0;No encontrado
Metfor Xr 500Mg;48.0;No encontrado
Metfor Xr 750Mg;40.0;No encontrado
Novalgina 500Mg Tabletas;5.6;No encontrado
Orfenadrina Citrato 100Mg Tabletas;4.9;No encontrado
Prednisona 5mg Tableta – Caja 100 Un;7.0;No encontrado
Profeket 100Mg/2Ml Inyectable;150.0;No encontrado
Quitoso Plus Shampoo;1.6;No encontrado
Rinosal B 100 Mcg Dosis Spray Nasal;63.7;No encontrado
Systalan Solución Oftálmica;60.8;No encontrado
Terazosina 5 Mg Tabletas Recubiertas;5.5;No encontrado
Tezen 400Mg Masticables;63.5;No encontrado
Valsartan 160 Mg Tabletas;9.3;No encontrado
Framidex N.F. Solución Oftálmica;8.2;No encontrado
Melixflan 15Mg;18.7;No encontrado
Mentholatum Ungüento Lata 18 G;2.9;No encontrado
Amoxicilina Iqf 125 Mg-5 ML Polvo para Suspensión – Frasco 60 Ml;5.2;No encontrado
Angie 20 Comprimido Recubierto – Caja 28 Un;43.7;No encontrado
Angie Comprimido Recubierto – Caja 21 Un;40.2;No encontrado
Furazolidona 100 Mg Tabletas – Caja 100 Un;10.0;No encontrado
Lactulosa 3.3g / 5ml Solución Oral – Frasco 180 ML;15.4;No encontrado
Loperamida 2 Mg Tabletas – Caja 100 Un;9.0;No encontrado
Slinda 4 Mg Comprimido Recubierto – Caja 28 Un;54.0;No encontrado
AB Broncol NF 1200mg/5ml Polvo para Solucion Inyectable – Caja 1 Un;26.0;No encontrado
AB Broncol NF 300Mg Suspensión Inyectable – Frasco Vial 1 Un;25.6;No encontrado
AB Broncol NF 600Mg Suspensión Inyectable- Frasco Vial1 Un;27.3;No encontrado
Acaril Crema – Tubo 42 Gr;46.3;No encontrado
Aceite de Ricino Solución Oral – Frasco 30 Ml;1.8;No encontrado
Aci Basic 400mg+30mg/5ml Uva – Suspensión 150 ML;19.9;No encontrado
Aci-Tip 800mg | 60mg/10ml Suspensión – Frasco 200 ML;23.2;No encontrado
Aciclovir Fmd 5% Crema – Tubo 5 G;2.0;No encontrado
Aciclovir Gnf 800 mg Tabletas – Caja 10 un;17.5;No encontrado
Aciclovir 200mg Tabletas – Caja 100 Un;1.6;No encontrado
Aciclovir 5% Crema Tópica – Tubo 5 G;2.0;No encontrado
Acido Bórico – Pote 50 Gr;3.2;No encontrado
Acnomel Crema – Tubo 30 Gr;21.9;No encontrado
Aeridin 5Mg Tabletas;24.7;No encontrado
Aero Om Anis Gotas – Frasco 15 Ml;15.8;No encontrado
Aero-OM 100mg/ml Suspensión Gotas Sabor Fresa – Frasco 15 Ml;16.1;No encontrado
Agua De Azahar – Frasco 120 Ml;1.1;No encontrado
Agua De Azahar – Frasco 1L;4.8;No encontrado
Agua De Azahar – Frasco 240 Ml;1.9;No encontrado
Agua De Azahar – Frasco 500 Ml;6.6;No encontrado
Agua Florida Solución – Frasco 270 Ml;10.9;No encontrado
Agua Oxigenada 10 Volúmenes – Frasco 250 ml;2.8;No encontrado
Ak Trol Nf Suspensión Oftálmica – Frasco 5 Ml;19.0;No encontrado
Albemax 100mg/5ml Suspension Oral – Frasco 20 Ml;11.8;No encontrado
Albendazol Ptg – Suspension 20 Ml;2.0;No encontrado
Albisec 33.3Mg/166.66Mg – Caja 12 Un;48.3;No encontrado
Alcanfor Refinado Pastilla – Caja 16 Un;6.6;No encontrado
Alcohol Medicinal 70° – Frasco 250 Ml;5.0;No encontrado
Alcohol Medicinal 70° – Frasco 500 ml;7.7;No encontrado
Alcohol Medicinal 96° – Frasco 500 ML;6.7;No encontrado
Alcohol Puro 96° – Frasco 120 ML;2.9;No encontrado
Alcohol Puro 96° – Frasco 250 ML;4.0;No encontrado
Repriman 500 Mg Comprimido;3.0;No encontrado
Alergizer 10Mg Tabletas Recubiertas;13.0;No encontrado
Alkoyodo 10% Solucion Topica – Frasco 120 Ml;12.5;No encontrado
Alkoyodo 7.5% Espuma Tópica – Frasco 120 Ml;10.0;No encontrado
Allegra 120 Mg Tabletas Recubiertas – Caja 10 Un;42.5;No encontrado
Ambrokids 15mg/5ml Solucion Oral – Frasco 120 Ml;14.9;No encontrado
Amlodipino Gnf 5Mg Tabletas – Caja 10 Un;1.9;No encontrado
Amlodipino 5 mg Tabletas;0.9;No encontrado
Amoxicilina + Ácido Clavulanico Pharg Tabletas – Caja 10 Un;13.5;No encontrado
Amoxicilina 500 mg Cápsulas;3.1;No encontrado
Amoxicilina 250 mg/5 mL Polvo para Suspensión – Frasco 60 Ml;2.9;No encontrado
Amoxicilina + Ácido Clavulánico Polvo para suspensión – Frasco 60 ml;15.5;No encontrado
Amoxidal Duo 250 Mg/5 Ml Polvo para Supensión – Frasco 90 Ml;23.3;No encontrado
